Magnitud,id_event,Location,detect_seismO,detect_das
1.73,uw61881742,85.05135264,yes,TRUE
1.6,uw61886377,124.7812951,yes,TRUE
2.12,uw61886652,97.90895483,yes,TRUE
1.69,uw61890091,78.34355307,yes,TRUE
1.73,uw61890241,19.29161012,yes,TRUE
1.66,uw61897806,36.58710676,yes,TRUE
2.27,uw61897961,24.36238465,yes,TRUE
2.41,uw61898191,20.5917495,yes,TRUE
1.59,uw61898286,24.12774096,yes,TRUE
2.68,uw61898306,33.92639463,yes,TRUE
2.36,uw61898746,122.8289414,yes,TRUE
1.63,uw61898801,162.3585321,yes,TRUE
1.87,uw61899186,25.0094501,yes,TRUE
1.7,uw61901221,15.59190368,yes,TRUE
1.9,uw61901281,21.52825029,yes,TRUE
1.55,uw61901421,40.38181576,yes,TRUE