Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
3.9,us7000j3g5,496.37283166655294,TRUE,FALSE,FALSE,
3.8,us7000j3f8,495.27594040064685,TRUE,FALSE,FALSE,
4.9,us7000ishe,332.6787252902081,FALSE,TRUE,,
4.4,us7000iqsk,583.3353794372889,TRUE,TRUE,TRUE,
3.4,us7000imha,602.592266158783,TRUE,norecord,FALSE,
3.5,us7000im59,597.0096293332506,TRUE,FALSE,FALSE,
3.2,us7000ikhh,596.0913688261065,TRUE,TRUE,FALSE,
3.3,us6000itsl,597.8178306230259,TRUE,TRUE,FALSE,
4.39,uw61886506,346.5030454717795,TRUE,TRUE,FALSE,
3.3,us6000ipd3,496.7911229932186,TRUE,FALSE,FALSE,
3.49,uw61882431,185.3769723446732,TRUE,TRUE,FALSE,
3.9,us7000ia3v,604.1145283182999,TRUE,FALSE,FALSE,
4.4,us7000i88d,579.4845534821417,TRUE,FALSE,FALSE,
3.71,uw61869652,39.35106266823719,TRUE,TRUE,FALSE,
3.3,us7000i36x,573.8936783624619,TRUE,FALSE?,FALSE,
3.05,uw61862977,218.25305681456007,TRUE,FALSE,FALSE,
4,us6000iac9,450.93925673503094,TRUE,FALSE,FALSE,
3.1,us6000iabx,592.3069471456715,TRUE,FALSE,FALSE,
4.6,us6000i90r,492.77258906856275,FALSE,TRUE,,
3.06,uw61860022,50.64851655962677,TRUE,TRUE,FALSE,
3.1,us6000hziu,600.1343484929553,TRUE,norecord,FALSE,
3.16,uw61836427,169.29939079021034,TRUE,norecord,FALSE,
3,us6000hn38,487.5323277722057,TRUE,FALSE,FALSE,
3.4,uw61832097,79.54169944864928,TRUE,TRUE,FALSE,
4.1,us7000h76t,504.91095364234235,TRUE,norecord,FALSE,
3.56,uw61835766,85.66178412639579,TRUE,norecord,FALSE,
3.9,us7000h3bv,592.4911947741417,TRUE,FALSE,FALSE,
4.2,us7000h21e,577.249354,TRUE,FALSE,FALSE,