Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels,PGA,PGM,PGV
5.35,nc73827571,815.8239223,,TRUE,      TRUE,,3.75E-05,8.87E-08,1.31E-06
4.92,nc73821046,806.3864283480767,,TRUE,TRUE,,1.04E-05,2.99E-08,3.54E-07
4.9,us6000j8c6,877.2036005618758,,FALSE,FALSE,,1.85E-05,4.74E-08,6.73E-07
5.2,us7000irbr,606.8081050453914,,TRUE,TRUE,,4.42E-05,1.38E-07,2.47E-06
5.6,us7000hhik,695.3034766517399,,norecord,FALSE,,norecord,norecord,norecord
5.1,us7000hf29,790.1172363360504,,TRUE,FALSE,,1.95E-05,5.09E-08,5.94E-07
5.3,us6000hfx7,623.5308648871378,,norecord,FALSE,,norecord,norecord,norecord
5.1,us7000gxl1,677.9990498,,TRUE,FALSE,,1.46E-04,3.77E-07,6.94E-06
6.4,nc73821036,809.8546474,,TRUE,TRUE,,8.19E-05,3.24E-07,4.42E-06
6.3,us6000j985,4174.163509,,TRUE,TRUE,,2.69E-05,9.65E-08,1.15E-06
6.3,us7000hf1u,4180.561002,,TRUE,FALSE,,2.27E-05,9.09E-08,1.23E-06